schema	term	status	dats_key_description	sdo_id	sdo_type	sdo_prop_description	sdo_prop_domain	sdo_prop_range	remapped_from
access_schema.json	types	Annotated	Method to obtain the resource, ideally specified from a controlled vocabulary or ontology.	sdo:identifier	sdo:Thing	"The identifier property represents any kind of identifier for any kind of <a class=""localLink"" href=""/Thing"">Thing</a>, such as ISBNs, GTIN codes, UUIDs etc. Schema.org provides dedicated properties for representing many of these, either as textual strings or as URL (URI) links. See <a href=""/docs/datamodel.html#identifierBg"">background notes</a> for more details."	http://schema.org/Thing	http://schema.org/PropertyValue, http://schema.org/Text, http://schema.org/URL	
access_schema.json	authorizations	Annotated	Types of verification that accessing the resource is allowed. Authorization occurs before successful authentication and refers to the process of obtaining approval to use a data set. Ideally specified from a controlled vocabulary or ontology.	sdo:permissionType	sdo:DigitalDocumentPermissionType	The type of permission granted the person, organization, or audience.	http://schema.org/DigitalDocumentPermission	http://schema.org/DigitalDocumentPermissionType	
access_schema.json	authentications	Annotated	Types of verification of the credentials for accessing the resource, it is the identification process at the time of access. ideally specified from a controlled vocabulary or ontology.	sdo:additionalProperty	sdo:PropertyValue	A property-value pair representing an additional characteristics of the entitity, e.g. a product feature or another characteristic for which there is no matching property in schema.org.<br/><br/>  Note: Publishers should be aware that applications designed to use specific schema.org properties (e.g. http://schema.org/width, http://schema.org/color, http://schema.org/gtin13, ...) will typically expect such data to be provided using those properties, rather than using the generic property/value mechanism.	http://schema.org/Place, http://schema.org/Product, http://schema.org/QualitativeValue, http://schema.org/QuantitativeValue	http://schema.org/PropertyValue	
access_schema.json	extraProperties	Annotated	Extra properties that do not fit in the previous specified attributes. 	sdo:additionalProperty	sdo:PropertyValue	A property-value pair representing an additional characteristics of the entitity, e.g. a product feature or another characteristic for which there is no matching property in schema.org.<br/><br/>  Note: Publishers should be aware that applications designed to use specific schema.org properties (e.g. http://schema.org/width, http://schema.org/color, http://schema.org/gtin13, ...) will typically expect such data to be provided using those properties, rather than using the generic property/value mechanism.	http://schema.org/Place, http://schema.org/Product, http://schema.org/QualitativeValue, http://schema.org/QuantitativeValue	http://schema.org/PropertyValue	
activity_schema.json	duration	Annotated	The time during which the activity takes place.	sdo:activityDuration	sdo:Thing	Length of time to engage in the activity.	http://schema.org/ExercisePlan	http://schema.org/Duration, http://schema.org/QuantitativeValue	
activity_schema.json	keywords	Annotated	Tags associated with the activity, which will help in its discovery.	sdo:keywords	sdo:Thing	Keywords or tags used to describe this content. Multiple entries in a keywords list are typically delimited by commas.	http://schema.org/CreativeWork	http://schema.org/DefinedTerm, http://schema.org/Text, http://schema.org/URL	
activity_schema.json	input	Annotated	The entities used as input.	sdo:isBasedOn	sdo:Thing	A resource from which this work is derived or from which it is a modification or adaption.	http://schema.org/CreativeWork	http://schema.org/CreativeWork, http://schema.org/Product, http://schema.org/URL	
activity_schema.json	output	Annotated	The entities resulting from applying the activity.	sdo:produces	sdo:Thing	The tangible thing generated by the service, e.g. a passport, permit, etc.	http://schema.org/Service	http://schema.org/Thing	
activity_schema.json	extraProperties	Annotated	Extra properties that do not fit in the previous specified attributes. 	sdo:additionalProperty	sdo:PropertyValue	A property-value pair representing an additional characteristics of the entitity, e.g. a product feature or another characteristic for which there is no matching property in schema.org.<br/><br/>  Note: Publishers should be aware that applications designed to use specific schema.org properties (e.g. http://schema.org/width, http://schema.org/color, http://schema.org/gtin13, ...) will typically expect such data to be provided using those properties, rather than using the generic property/value mechanism.	http://schema.org/Place, http://schema.org/Product, http://schema.org/QualitativeValue, http://schema.org/QuantitativeValue	http://schema.org/PropertyValue	
anatomical_part_schema.json	extraProperties	Annotated	Extra properties that do not fit in the previous specified attributes. 	sdo:additionalProperty	sdo:PropertyValue	A property-value pair representing an additional characteristics of the entitity, e.g. a product feature or another characteristic for which there is no matching property in schema.org.<br/><br/>  Note: Publishers should be aware that applications designed to use specific schema.org properties (e.g. http://schema.org/width, http://schema.org/color, http://schema.org/gtin13, ...) will typically expect such data to be provided using those properties, rather than using the generic property/value mechanism.	http://schema.org/Place, http://schema.org/Product, http://schema.org/QualitativeValue, http://schema.org/QuantitativeValue	http://schema.org/PropertyValue	
biological_entity_schema.json	extraProperties	Annotated	Extra properties that do not fit in the previous specified attributes. 	sdo:additionalProperty	sdo:PropertyValue	A property-value pair representing an additional characteristics of the entitity, e.g. a product feature or another characteristic for which there is no matching property in schema.org.<br/><br/>  Note: Publishers should be aware that applications designed to use specific schema.org properties (e.g. http://schema.org/width, http://schema.org/color, http://schema.org/gtin13, ...) will typically expect such data to be provided using those properties, rather than using the generic property/value mechanism.	http://schema.org/Place, http://schema.org/Product, http://schema.org/QualitativeValue, http://schema.org/QuantitativeValue	http://schema.org/PropertyValue	
category_values_pair_schema.json	values	Annotated	A set of (annotated) values associated with the cateogory.	sdo:additionalProperty	sdo:Thing	A property-value pair representing an additional characteristics of the entitity, e.g. a product feature or another characteristic for which there is no matching property in schema.org.<br/><br/>  Note: Publishers should be aware that applications designed to use specific schema.org properties (e.g. http://schema.org/width, http://schema.org/color, http://schema.org/gtin13, ...) will typically expect such data to be provided using those properties, rather than using the generic property/value mechanism.	http://schema.org/Place, http://schema.org/Product, http://schema.org/QualitativeValue, http://schema.org/QuantitativeValue	http://schema.org/PropertyValue	
data_acquisition_schema.json	duration	Annotated	The time during which the activity takes place.	sdo:activityDuration	sdo:Thing	Length of time to engage in the activity.	http://schema.org/ExercisePlan	http://schema.org/Duration, http://schema.org/QuantitativeValue	
data_acquisition_schema.json	keywords	Annotated	Tags associated with the activity, which will help in its discovery.	sdo:keywords	sdo:Thing	Keywords or tags used to describe this content. Multiple entries in a keywords list are typically delimited by commas.	http://schema.org/CreativeWork	http://schema.org/DefinedTerm, http://schema.org/Text, http://schema.org/URL	
data_acquisition_schema.json	input	Annotated	The entities used as input.	sdo:isBasedOn	sdo:Thing	A resource from which this work is derived or from which it is a modification or adaption.	http://schema.org/CreativeWork	http://schema.org/CreativeWork, http://schema.org/Product, http://schema.org/URL	
data_acquisition_schema.json	output	Annotated	The entities resulting from applying the activity.	sdo:produces	sdo:Thing	The tangible thing generated by the service, e.g. a passport, permit, etc.	http://schema.org/Service	http://schema.org/Thing	
data_acquisition_schema.json	uses	Annotated	The instrument(s) or software(s) used to acquire the signal.	sdo:instrument	sdo:Thing	The object that helped the agent perform the action. e.g. John wrote a book with <em>a pen</em>.	http://schema.org/Action	http://schema.org/Thing	
data_acquisition_schema.json	measures	Annotated	The dimension(s) being acquired as signal.	sdo:variableMeasured	sdo:Thing	The variableMeasured property can indicate (repeated as necessary) the  variables that are measured in some dataset, either described as text or as pairs of identifier and description using PropertyValue.	http://schema.org/Dataset	http://schema.org/PropertyValue, http://schema.org/Text	
data_acquisition_schema.json	extraProperties	Annotated	Extra properties that do not fit in the previous specified attributes. 	sdo:additionalProperty	sdo:PropertyValue	A property-value pair representing an additional characteristics of the entitity, e.g. a product feature or another characteristic for which there is no matching property in schema.org.<br/><br/>  Note: Publishers should be aware that applications designed to use specific schema.org properties (e.g. http://schema.org/width, http://schema.org/color, http://schema.org/gtin13, ...) will typically expect such data to be provided using those properties, rather than using the generic property/value mechanism.	http://schema.org/Place, http://schema.org/Product, http://schema.org/QualitativeValue, http://schema.org/QuantitativeValue	http://schema.org/PropertyValue	
data_analysis_schema.json	duration	Annotated	The time during which the activity takes place.	sdo:activityDuration	sdo:Thing	Length of time to engage in the activity.	http://schema.org/ExercisePlan	http://schema.org/Duration, http://schema.org/QuantitativeValue	
data_analysis_schema.json	keywords	Annotated	Tags associated with the activity, which will help in its discovery.	sdo:keywords	sdo:Thing	Keywords or tags used to describe this content. Multiple entries in a keywords list are typically delimited by commas.	http://schema.org/CreativeWork	http://schema.org/DefinedTerm, http://schema.org/Text, http://schema.org/URL	
data_analysis_schema.json	input	Annotated	The entities used as input.	sdo:isBasedOn	sdo:Thing	A resource from which this work is derived or from which it is a modification or adaption.	http://schema.org/CreativeWork	http://schema.org/CreativeWork, http://schema.org/Product, http://schema.org/URL	
data_analysis_schema.json	output	Annotated	The entities resulting from applying the activity.	sdo:produces	sdo:Thing	The tangible thing generated by the service, e.g. a passport, permit, etc.	http://schema.org/Service	http://schema.org/Thing	
data_analysis_schema.json	uses	Annotated	The instrument(s) or software(s) used to acquire the signal.	sdo:instrument	sdo:Thing	The object that helped the agent perform the action. e.g. John wrote a book with <em>a pen</em>.	http://schema.org/Action	http://schema.org/Thing	
data_analysis_schema.json	measures	Annotated	The dimension(s) being acquired as signal.	sdo:variableMeasured	sdo:Thing	The variableMeasured property can indicate (repeated as necessary) the  variables that are measured in some dataset, either described as text or as pairs of identifier and description using PropertyValue.	http://schema.org/Dataset	http://schema.org/PropertyValue, http://schema.org/Text	
data_analysis_schema.json	extraProperties	Annotated	Extra properties that do not fit in the previous specified attributes. 	sdo:additionalProperty	sdo:PropertyValue	A property-value pair representing an additional characteristics of the entitity, e.g. a product feature or another characteristic for which there is no matching property in schema.org.<br/><br/>  Note: Publishers should be aware that applications designed to use specific schema.org properties (e.g. http://schema.org/width, http://schema.org/color, http://schema.org/gtin13, ...) will typically expect such data to be provided using those properties, rather than using the generic property/value mechanism.	http://schema.org/Place, http://schema.org/Product, http://schema.org/QualitativeValue, http://schema.org/QuantitativeValue	http://schema.org/PropertyValue	
data_repository_schema.json	scopes	Annotated	Information about the nature of the datasets in the repository, ideally from a controlled vocabulary or ontology (e.g. transcription profile, sequence reads, molecular structure, image, DNA sequence, NMR spectra).	sdo:identifier		"The identifier property represents any kind of identifier for any kind of <a class=""localLink"" href=""/Thing"">Thing</a>, such as ISBNs, GTIN codes, UUIDs etc. Schema.org provides dedicated properties for representing many of these, either as textual strings or as URL (URI) links. See <a href=""/docs/datamodel.html#identifierBg"">background notes</a> for more details."	http://schema.org/Thing	http://schema.org/PropertyValue, http://schema.org/Text, http://schema.org/URL	
data_repository_schema.json	types	Annotated	A descriptor (ideally from a controlled vocabulary) providing information about the type of repository, such as primary resource or aggregator.	sdo:identifier	sdo:Thing	"The identifier property represents any kind of identifier for any kind of <a class=""localLink"" href=""/Thing"">Thing</a>, such as ISBNs, GTIN codes, UUIDs etc. Schema.org provides dedicated properties for representing many of these, either as textual strings or as URL (URI) links. See <a href=""/docs/datamodel.html#identifierBg"">background notes</a> for more details."	http://schema.org/Thing	http://schema.org/PropertyValue, http://schema.org/Text, http://schema.org/URL	
data_repository_schema.json	aggregatorOf	Annotated	The DataRepositories aggregated by this repository. This property will be empty for primary repositories.	sdo:includedInDataCatalog	sdo:DataCatalog	A data catalog which contains this dataset.	http://schema.org/Dataset	http://schema.org/DataCatalog	
data_repository_schema.json	extraProperties	Annotated	Extra properties that do not fit in the previous specified attributes. 	sdo:additionalProperty	sdo:PropertyValue	A property-value pair representing an additional characteristics of the entitity, e.g. a product feature or another characteristic for which there is no matching property in schema.org.<br/><br/>  Note: Publishers should be aware that applications designed to use specific schema.org properties (e.g. http://schema.org/width, http://schema.org/color, http://schema.org/gtin13, ...) will typically expect such data to be provided using those properties, rather than using the generic property/value mechanism.	http://schema.org/Place, http://schema.org/Product, http://schema.org/QualitativeValue, http://schema.org/QuantitativeValue	http://schema.org/PropertyValue	
data_standard_schema.json	extraProperties	Annotated	Extra properties that do not fit in the previous specified attributes. 	sdo:additionalProperty	sdo:PropertyValue	A property-value pair representing an additional characteristics of the entitity, e.g. a product feature or another characteristic for which there is no matching property in schema.org.<br/><br/>  Note: Publishers should be aware that applications designed to use specific schema.org properties (e.g. http://schema.org/width, http://schema.org/color, http://schema.org/gtin13, ...) will typically expect such data to be provided using those properties, rather than using the generic property/value mechanism.	http://schema.org/Place, http://schema.org/Product, http://schema.org/QualitativeValue, http://schema.org/QuantitativeValue	http://schema.org/PropertyValue	
dataset_distribution_schema.json	curationStatus	Annotated	The level of curation of the dataset distribution.	sdo:ratingValue	sdo:Text	The rating for the content.<br/><br/>  Usage guidelines:<br/><br/>  <ul> <li>Use values from 0123456789 (Unicode 'DIGIT ZERO' (U+0030) to 'DIGIT NINE' (U+0039)) rather than superficially similiar Unicode symbols.</li> <li>Use '.' (Unicode 'FULL STOP' (U+002E)) rather than ',' to indicate a decimal point. Avoid using these symbols as a readability separator.</li> </ul>	http://schema.org/Rating	http://schema.org/Number, http://schema.org/Text	
dataset_distribution_schema.json	conformsTo	Annotated	A data standard whose requirements and constraints are met by the dataset.	sdo:additionalProperty	sdo:PropertyValue	A property-value pair representing an additional characteristics of the entitity, e.g. a product feature or another characteristic for which there is no matching property in schema.org.<br/><br/>  Note: Publishers should be aware that applications designed to use specific schema.org properties (e.g. http://schema.org/width, http://schema.org/color, http://schema.org/gtin13, ...) will typically expect such data to be provided using those properties, rather than using the generic property/value mechanism.	http://schema.org/Place, http://schema.org/Product, http://schema.org/QualitativeValue, http://schema.org/QuantitativeValue	http://schema.org/PropertyValue	
dataset_distribution_schema.json	qualifiers	Annotated	One or more characteristics of the dataset distribution (e.g. how it relates to other distributions, if the data is raw or processed, compressed or encrypted).	sdo:additionalProperty	sdo:PropertyValue	A property-value pair representing an additional characteristics of the entitity, e.g. a product feature or another characteristic for which there is no matching property in schema.org.<br/><br/>  Note: Publishers should be aware that applications designed to use specific schema.org properties (e.g. http://schema.org/width, http://schema.org/color, http://schema.org/gtin13, ...) will typically expect such data to be provided using those properties, rather than using the generic property/value mechanism.	http://schema.org/Place, http://schema.org/Product, http://schema.org/QualitativeValue, http://schema.org/QuantitativeValue	http://schema.org/PropertyValue	
